condition,alpha_mean,alpha_sd,alpha_q025,alpha_q975,beta_mean,beta_sd,beta_q025,beta_q975,lambda_mean,lambda_sd,lambda_q025,lambda_q975
AI,-0.02443603972054992,0.1285995615972903,-0.3118612933148116,0.19490986380170675,0.04763417465730953,0.0796862520107196,-0.12906644086022478,0.18313475177638147,8.031393260630944,1.719412451973524,5.202931633980591,11.919540603066794
Control,-0.0850549791519215,0.08816838029832942,-0.3222688238083805,0.04701376061280345,0.12666181079656247,0.054891658396678214,0.011020903575589729,0.22379093371016529,11.596732442204365,1.9634028890501738,7.921343752206136,15
